batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture
3C,level_4,MCAR,0.75,75.0,knn,baseline,0.0735445099419215,0.0899956879420559,-0.4976764468582588,1,cnn
3C,level_4,MCAR,0.8,80.0,knn,baseline,0.0711014490940956,0.0875923399812363,-0.4187532014792656,1,cnn
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0605745999344494,0.0762700948303001,-0.0756801894719416,1,cnn
3C,level_4,MCAR,0.9,90.0,knn,baseline,0.0644480290100512,0.082899179132437,-0.2707937143838719,1,cnn
3C,level_4,MCAR,0.95,95.0,knn,baseline,0.0996676871979929,0.1239315124531398,-1.84012920261952,1,cnn
3C,level_4,MAR,0.0,0.0,knn,baseline,0.0783937402685139,0.095730645022889,-0.6946365457922201,1,cnn
3C,level_4,MAR,0.05,5.0,knn,baseline,0.0789902019689345,0.0959532205032583,-0.7025258277161412,1,cnn
3C,level_4,MAR,0.1,10.0,knn,baseline,0.0794577506693685,0.0964178303754693,-0.7190531596200394,1,cnn
3C,level_4,MAR,0.15,15.0,knn,baseline,0.0784483421217231,0.0957082388681524,-0.6938433651945874,1,cnn
3C,level_4,MAR,0.2,20.0,knn,baseline,0.0789035949141192,0.0958776838905325,-0.6998463467403926,1,cnn
3C,level_4,MAR,0.25,25.0,knn,baseline,0.0788080974526988,0.0959558639462383,-0.7026196357596268,1,cnn
3C,level_4,MAR,0.3,30.0,knn,baseline,0.0782121268415038,0.0957156383593755,-0.6941052875487488,1,cnn
3C,level_4,MAR,0.35,35.0,knn,baseline,0.0781886095959412,0.095519536288531,-0.6871706374254054,1,cnn
3C,level_4,MAR,0.4,40.0,knn,baseline,0.0801859568606495,0.0984479221104202,-0.7922050880764453,1,cnn
3C,level_4,MAR,0.45,45.0,knn,baseline,0.0794749906749748,0.0967889292918286,-0.7323114217344502,1,cnn
3C,level_4,MAR,0.5,50.0,knn,baseline,0.0804509228445838,0.0981275685776403,-0.780560249201899,1,cnn
3C,level_4,MAR,0.55,55.00000000000001,knn,baseline,0.0796448638783986,0.0973312346382912,-0.7517779781683536,1,cnn
3C,level_4,MAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0803982138898965,0.0991109044232638,-0.8164250233348156,1,cnn
3C,level_4,MAR,0.65,65.0,knn,baseline,0.0797205486957752,0.097299645537819,-0.7506410746683407,1,cnn
3C,level_4,MAR,0.7000000000000001,70.0,knn,baseline,0.080647974120377,0.0984744785736279,-0.7931721180923184,1,cnn
3C,level_4,MAR,0.75,75.0,knn,baseline,0.0819024079538541,0.0990971232782185,-0.8159199189468374,1,cnn
3C,level_4,MAR,0.8,80.0,knn,baseline,0.0811307463675405,0.0988984001889012,-0.8086441600508094,1,cnn
