batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture,param_count
3C,level_4,MCAR,0.1,10.0,zero,baseline,0.1097645014490568,0.1448388314850281,-2.8792218961983385,1,cnn,36185
3C,level_4,MCAR,0.1,10.0,mean,baseline,0.1027371099469688,0.13328546103509,-2.2850361626511955,1,cnn,36185
3C,level_4,MCAR,0.1,10.0,iterative,baseline,0.1071135465860072,0.14230901649354,-2.7448931610738976,1,cnn,36185
3C,level_4,MCAR,0.15,15.0,zero,baseline,0.1139974240561203,0.1634240539880685,-3.938630758916221,1,cnn,36185
3C,level_4,MCAR,0.15,15.0,mean,baseline,0.1101776044206654,0.1502685222790608,-3.175520583815309,1,cnn,36185
3C,level_4,MCAR,0.15,15.0,iterative,baseline,0.1377775620105682,0.1880384088806339,-5.538343499633971,1,cnn,36185
3C,level_4,MCAR,0.2,20.0,zero,baseline,0.1146151245150194,0.1620949011531575,-3.858624161199068,1,cnn,36185
3C,level_4,MCAR,0.2,20.0,mean,baseline,0.1211041987929562,0.1700664835371894,-4.348254453453616,1,cnn,36185
3C,level_4,MCAR,0.2,20.0,iterative,baseline,0.1767161295316717,0.25072154055795,-10.62406133780418,1,cnn,36185
3C,level_4,MCAR,0.25,25.0,zero,baseline,0.1320180489642658,0.2016277623012289,-6.5175315287329765,1,cnn,36185
3C,level_4,MCAR,0.25,25.0,mean,baseline,0.1226890558919447,0.1699179950895132,-4.3389191948042845,1,cnn,36185
3C,level_4,MCAR,0.25,25.0,iterative,baseline,0.1927091661483897,0.2569923424053148,-11.21279207992236,1,cnn,36185
3C,level_4,MCAR,0.3,30.0,zero,baseline,0.1440692529949476,0.2125568036129795,-7.354579940446417,1,cnn,36185
3C,level_4,MCAR,0.3,30.0,mean,baseline,0.1313344346224451,0.1892678588718947,-5.624122204663867,1,cnn,36185
3C,level_4,MCAR,0.3,30.0,iterative,baseline,0.2309945301131353,0.3137368537046817,-17.201436779220888,1,cnn,36185
3C,level_4,MCAR,0.35,35.0,zero,baseline,0.1346940974977019,0.1941430292168895,-5.969766055190979,1,cnn,36185
3C,level_4,MCAR,0.35,35.0,mean,baseline,0.1447278029320413,0.2048108778372949,-6.756765026267379,1,cnn,36185
3C,level_4,MCAR,0.35,35.0,iterative,baseline,0.2792262472145637,0.3952012855949382,-27.88093805464354,1,cnn,36185
3C,level_4,MCAR,0.4,40.0,zero,baseline,0.1408188872036739,0.2016735042217931,-6.520942818244006,1,cnn,36185
3C,level_4,MCAR,0.4,40.0,mean,baseline,0.1419147769777088,0.2180809462315386,-7.794477525293743,1,cnn,36185
3C,level_4,MCAR,0.4,40.0,iterative,baseline,0.3294268662720293,0.4274168011289219,-32.781410338971654,1,cnn,36185
3C,level_4,MCAR,0.45,45.0,zero,baseline,0.1667224545402196,0.2264063353045568,-8.478764817757318,1,cnn,36185
3C,level_4,MCAR,0.45,45.0,mean,baseline,0.1413798103285366,0.2108098539905782,-7.21781599191239,1,cnn,36185
3C,level_4,MCAR,0.45,45.0,iterative,baseline,0.3415741950130581,0.4513291116377422,-36.66702256729381,1,cnn,36185
3C,level_4,MCAR,0.5,50.0,zero,baseline,0.1794172458412915,0.2533187610243265,-10.866135633472528,1,cnn,36185
3C,level_4,MCAR,0.5,50.0,mean,baseline,0.1536229116772249,0.2199493758104125,-7.945818144514318,1,cnn,36185
3C,level_4,MCAR,0.5,50.0,iterative,baseline,0.3475443146921353,0.4689867908367439,-39.67202720418207,1,cnn,36185
